time,F7,AF7,AF8,F8,MARKER
644,0.0050885262144330975,1090.7414631834918,8354.241955300307,6011.724727922926,
646,0.005338967634960686,1061.8908385935413,8063.727574520796,5944.281755844514,
648,0.005571544290503329,1027.7954204407038,7562.504305309467,5579.19100748799,
650,0.00575456329872447,972.6269536917342,6939.615774221382,5008.305648278272,
652,0.005873246233401067,888.8906308524537,6327.297904291603,4397.404784458214,
654,0.005935028046567006,780.1903980417379,5849.79228255644,3921.5266658716164,
656,0.005966376206739345,659.7868354391434,5576.787390906477,3698.9896090140924,
658,0.006002478428984605,545.5284258577087,5498.94305904028,3748.9688207015065,
660,0.006073819318048607,453.09890388872,5534.046118721739,3987.783928050759,
662,0.006194771380925628,390.14061145761536,5560.481549440577,4263.953272328934,
664,0.006358473770839089,353.4603983229042,5464.474817864413,4417.47006304896,
666,0.006539819838781869,330.3427016141029,5182.79356692294,4340.147370406491,
668,0.006705278149636016,303.4372184425218,4724.921398048295,4014.3042020205353,
670,0.006825713543301979,257.34655401429933,4167.019694664281,3516.0433477822367,
672,0.00688731237989674,184.4162352905439,3620.928709469879,2983.206911421225,
674,0.006896523295333375,87.5535591526317,3190.7914391712006,2561.3878365641162,
676,0.006877261590362443,-20.958247424651503,2934.128423396711,2349.1274458921907,
678,0.006861579734702656,-124.16557442905912,2841.913583912147,2362.921465186964,
680,0.006877450132307489,-206.86357335319184,2844.4915904038494,2534.3960881344697,
682,0.006938325694018072,-261.29491768437583,2840.1518081314753,2739.4195010606268,
684,0.00703838141269449,-289.9893546251555,2734.7183987533776,2846.908334525656,
686,0.00715511900837719,-304.70309702887425,2476.7815957393263,2768.1818640461743,
688,0.007258204743211502,-321.8961246537233,2075.4253918272234,2488.3105305897566,
690,0.00732108160709854,-356.48468430088036,1594.4339272016005,2068.466596953358,
692,0.007330920989018532,-416.23815388715303,1126.093573965678,1619.6668827666363,
694,0.007293196603122521,-498.92277112531985,755.3063375517661,1259.0398209118434,
696,0.007229268899916946,-593.2391535435606,527.9677979219578,1065.8223806796518,
698,0.007168037667196607,-683.1616893562318,435.38155458026677,1053.6085097110442,
700,0.007134934489873497,-754.0115225971214,419.9262967506088,1168.49091504817,
702,0.007142459309260742,-797.9598479188924,398.92800448974447,1312.5441723590684,
704,0.007185792160236972,-816.8968746351425,296.9276080469218,1382.5951134736179,
706,0.007245021189152337,-821.6150023419467,73.78043852313971,1308.9743990518175,
708,0.007293000956488697,-827.652811459493,-261.8449638468891,1079.7211807929782,
710,0.007305755987152009,-849.3990583023599,-658.0047612726119,741.9298061833573,
712,0.007271455604131354,-894.6931388876995,-1041.0778918567867,380.95934997913935,
714,0.007194615019897638,-961.9473476961558,-1344.501183168269,86.5124887200186,
716,0.007094052502535276,-1040.8454846005534,-1533.4344548219588,-80.96656324948205,
718,0.006995517488996832,-1116.3156255232557,-1616.2287818971267,-111.00141049533015,
720,0.0069218888208245006,-1174.2469108160738,-1639.020012841225,-43.8997188646018,
722,0.006884687499782572,-1206.7815241975566,-1666.3518456317495,47.42740232660239,
